"﻿Company Name in Folder","HO Location/URL ","Old/Other Names","Sat Support?"
"Masons Marine","Single Branch",,x
"Milford Millennium Centre",milfordcc,"Milford on Sea Charity Shop",x
"Mobile Marine Engineers Ltd","Single Branch",,x
"Montane ","Single Branch",,x
"Mount Batten Boat House","Single Branch",,x
"Mustard Tree",mtree,,x
"Mylor Chandlery Ltd","Single Branch",,x
"Needle Sports","Local HO",,x
"New Start Highland",nsh,,x
"Newark Marina","Single Branch",,x
"North East Caravans Ltd","Single Branch",,x
"North Yorkshire Hospice Care",nyhc,"St Michaels - Herriot Hospice",✓
Norwood,norwood,,x
"Offshore Power (CI) Ltd","Single Branch",,x
"P A Lynch Ltd","Single Branch",,x
"Paint Direct Ltd","Single Branch",,x
"Peace Hospice Care",phc,"Merged With Rennie Grove",✓
"Peter Leonard Marine","Single Branch",,x
"Portsmouth Hospitals Trust","Single Branch",,x
"Power Afloat","Single Branch",,x
"Powerhouse Marine","Single Branch",,x
"Prestige Plastics Ltd","Single Branch",,x
"Preston Marine Services Ltd","Single Branch",,x
"Pro-Rig Marine","Single Branch",,x
"Prospect Hospice",prospecthospice,,x
"Redwings Enterprises Ltd",redwings,,✓
"Refurbs Flintshire",refurbs,,x
Regenerage,accl,,✓
"Remake Scotland",remakescotland,,✓
"Rennie Grove Peace Hospice Care",renniegrove,RGP,✓
"Retreat Boatyard (Topsham) Ltd","Single Branch",,x
"Revive Leeds CIC",reviveleeds,,✓
"RIBS Marine Ltd","Single Branch",,x
"Rice & Cole Ltd","Single Branch",,x
"Ripon Walled Garden",rwg,,✓
"Robin Curnow Outboard Motors","Single Branch",,x
"Ropers Leisure","Single Branch",,x
"Rotherham Hospice",rh,,✓
"Rowcroft Hospice",rowcroft,,✓
"Royal Yachting Association","Single Branch",,x
"SAL Marine","Single Branch",,x
"Seamark Nunn Limited","Single Branch",,x
"Shaldon Marine","Single Branch",,x
"Shared Space",sharedspace,,x
SHAX,shax,,x
"Sheridan Marine","Single Branch",,x
"Sky International","Peer to Peer",,x
"Slate Leeds",slate,,x
"Smith Cooper IT","Single Branch",,x
SMS,"Local HO","Salcombe Marine Services - Twisted Marine?",x
"Solutions for Accounting ","Single Branch",,x
"SOS Swim Ltd","Single Branch",,x
"South Kent Mind",skm,,x
"South Pier Marine 2008 Ltd","Single Branch",,x
"Springfield Farm Shop","Single Branch",,x
"St Cuthbert's Hospice",stcuthberts,,x
"St John's Hospice ",stjh,,x
"St Nicholas Hospice Care",snhc,,✓
"St Oswald's Hospice",stoswaldsuk,,✓
"St Peter's Church Yateley",spcy,,x
"St Wilfrids Hospice",stwh,,✓
"Stalham Gas Appliances & Serv","Single Branch",,x
"Swindon Caravan Centre","Single Branch",,x
"Teesside Caravans","Single Branch",,x
"The Brick",thebrick,"Queens Hall Action On Poverty-Community Warehouse",x
"The Carp Society","Single Branch",,x
"The Elephant Boatyard Ltd","Single Branch",,x
"The Furniture Project (Stranraer) Ltd  ",reuseshop,"Community Reuse Shop - The Furniture Project (Stranraer) - Re-Loved Local",x
"The Mare & Foal Sanctuary",maf,,✓
"The Rowans Hospice Charity",rowans,,✓
"The Sheffield Cats Shelter Ltd",scs,,x
"The Whitechapel Centre",whitechapel,,✓
"The Wish Centre",thewishcentre,,x
"The Woodshop MacDuff Ltd","Single Branch",,x
"Thorn Marine","Single Branch",,x
"Thornberry Animal Sanctuary",tas,,x
"Tony Evans Marine Engineering","Single Branch",,x
Toogoodtowaste,"Local HO",,x
"Transition Stirling",trst,"Re-use Hub",x
"Trifid Ltd","Single Branch","Outback Trading",x
"Underwater Explorers Ltd","Single Branch",,x
"Venture Caravans","Peer to Peer",,x
"Venture Caravans - Hitchin","Peer to Peer",,x
"Vision 21 (Gloucestershire) Ltd","Single Branch",,x
Vista,vista,,✓
"W L Bussell & Co ","Single Branch",,x
"Wales Air Ambulance",waac,,✓
"Warehouse 701","Single Branch",,x
"Watchet Harbour Marina","Single Branch",,x
"West Country Stoves 2016 Ltd","Single Branch",,x
"West Kilbride Community Initiative","Single Branch",,x
"West Marine Services","Local HO",,x
"West Wales Marine Ltd","Single Branch",,x
"Wheal Martyn Trust",swlt,"Wheal Martyn Clay Works - South West Lakes Trust?",x
"Whitstable Marine","Single Branch",,x
"Wills Marine Ltd","Single Branch",,x
"Wiltshire Wildlife Trust Ltd",wwt,,x
"Wisdom Hospice Support",wihs,,✓
"Woking & Sam Beare Hospices",wsb,"SamBeare - Woking Hospice",✓
"Work Link Project",worklink,,x
"Yellow Penguin","Single Branch",,x
"YMCA Burton Upon Trent",ybot,,✓
"Young Lives vs Cancer",clic,"YLVC - CLIC Sargent",✓
"Your Kids Around the World",ykatw,,x
